source_sheet,source_row,model_key,source_field,raw_text,phrase_type,extracted_rpos,confidence,review_status,notes
Equipment Groups 1,47,corvette,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years.",not_available_with,284|BFU|FBC|FNR|R9V|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,48,corvette,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year.",requires,284|BFU|R9W|R9Y|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,48,corvette,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year.",not_available_with,284|BFU|R9W|R9Y|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,49,corvette,description,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types.",requires,284|BFU|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,49,corvette,description,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types.",deletes,284|BFU|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,50,corvette,description,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,53,corvette,description,"Seat belt color, Orange
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero interiors.",included_with,EJH|EPX|HAG|HNK|HU2|HU7|HUA|HUF|HUL|HUQ|HUR|HUU|HUW|HUX|HVZ|HZN|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,54,corvette,description,"Seat belt color, Natural
1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors.",included_with,EJH|EPX|H1Y|HMO|HTA|HTE|HTG|HTJ|HTM|HTN|HTP|HTQ|HTT|HU0|HUE|HUF|HUV|HVV|HXO|HZN,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,55,corvette,description,"Seat belt color, Santorini Blue
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior.",included_with,EJH|EPX|H8T|HAG|HNK|HU2|HU7|HUA|HUL|HUQ|HUR|HUU|HUW|HUX|HVZ|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,56,corvette,description,"Seat belt color, Torch Red
1. Not recommended with (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HNK) Adrenaline Red Dipped interior.",included_with,EJH|EPX|HNK|HUW|HUX,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,60,corvette,description,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket
1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",requires,GT2|HAG|HVZ,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,61,corvette,description,"Seats, two-tone
1. Requires (AH2) GT2 seats. Available with (HUK/HU6) Sky Cool Gray, (HUL/HU7) Adrenaline Red, (HTN/HTQ) Natural interiors.
2. Requires (AH2) GT2 seats. Available with (HU1/HU9) Sky Cool Gray, (HU2/HUA) Adrenaline Red, (HUE/HTG) Natural, (HMO/HVV) Jet Black/Sky Cool Gray, (HU0/HXO) Jet Black/Adrenaline Red interiors.",requires,AH2|GT2|HMO|HTG|HTN|HTQ|HU0|HU1|HU2|HU6|HU7|HU9|HUA|HUE|HUK|HUL|HVV|HXO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,62,corvette,description,"Steering wheel, sueded microfiber-wrapped
1. Requires (HTJ) Jet Black interior.
2. Requires leather seating surfaces with perforated sueded microfiber inserts interior: HTP, HU6, HU7, HTQ.
3. Requires leather seating surfaces with perforated sueded microfiber inserts interiors: HTT, HU9, HUA, HTG, HUF, HMO, HVT, HXO, HZP, HUX, EPX, HUB.",requires,EPX|HMO|HTG|HTJ|HTP|HTQ|HTT|HU6|HU7|HU9|HUA|HUB|HUF|HUX|HVT|HXO|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,63,corvette,description,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HUB|HUC,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,64,corvette,description,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HU0|HUB|HUC|HXO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,65,corvette,description,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HUB|HUC,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",requires,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",not_available_with,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",removes,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",deletes,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,70,corvette,description,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,71,corvette,description,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,72,corvette,description,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN
1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.",not_available_with,728|BAC|CFX|LPO|VIN,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,74,corvette,description,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,77,corvette,description,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",requires,,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,78,corvette,description,"LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories
1. Not available with (5V7) Black Ground Effects, LPO.
2. Not available with 5V7, 5VM, 5W8.",not_available_with,5V7|5VM|5W8|LPO|STI|VQK|VWE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,79,corvette,description,"LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory
1. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",not_available_with,DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|DZU|DZV|DZX|LPO|RPO|SB7|VWD,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,80,corvette,description,"LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories
1. Not available with R8C, SPZ, SFE, SPY, S47, EYK, PDV, SB7 or RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",not_available_with,5DG|DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|DZU|DZV|DZX|EYK|LPO|PDV|R8C|RPO|S47|SB7|SFE|SFZ|SHT|SNG|SPY|SPZ,high,needs_review,Staging candidate only; no canonical rule generated.
