relationship_key,relationship_type,legacy_surface,legacy_id,source_id,source_label,target_id,target_label,coverage_status,coverage_confidence,coverage_note,triage_reason,triage_confidence,suggested_next_step,schema_file_candidate,mapper_candidate,evidence_detail,notes
legacy_rel_0011,includes,rules,rule_3lt_ah2_huf_n26_includes_opt_3n9_001,3LT_AH2_HUF_N26,3LT > AH2 GT2 Bucket Seats > Natural Dipped > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Natural Dipped Suede,opt_3n9_001,Natural Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HUF_N26 from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0012,includes,rules,rule_3lt_ah2_huw_includes_opt_379_001,3LT_AH2_HUW,3LT > AH2 GT2 Bucket Seats > Habanero > Napa leather seating surfaces with perforated inserts. > Habanero,opt_379_001,Orange Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HUW from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0013,includes,rules,rule_3lt_ah2_hux_n26_includes_opt_379_001,3LT_AH2_HUX_N26,3LT > AH2 GT2 Bucket Seats > Habanero > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Habanero Suede,opt_379_001,Orange Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HUX_N26 from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0014,includes,rules,rule_3lt_ah2_hzn_includes_opt_3n9_001,3LT_AH2_HZN,3LT > AH2 GT2 Bucket Seats > Natural Dipped > Napa leather seating surfaces with perforated inserts. > Natural Dipped,opt_3n9_001,Natural Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HZN from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0015,includes,rules,rule_3lt_aup_hag_includes_opt_3a9_001,3LT_AUP_HAG,3LT > AUP Assymetrical seats > Asymmetrical Santorini Blue / Jet Black,opt_3a9_001,Santorini Blue Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AUP_HAG from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0016,excludes,rules,rule_opt_5dg_001_excludes_opt_r8c_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_r8c_001,Corvette Museum Delivery,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0017,excludes,rules,rule_opt_5dg_001_excludes_opt_s47_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0018,excludes,rules,rule_opt_5dg_001_excludes_opt_sfe_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0019,excludes,rules,rule_opt_5dg_001_excludes_opt_spy_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spy_001,"LPO, Black lug nuts",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0020,excludes,rules,rule_opt_5dg_001_excludes_opt_spz_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spz_001,"LPO, Black wheel locks",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0021,excludes,rules,rule_opt_5do_001_excludes_opt_r8c_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_r8c_001,Corvette Museum Delivery,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0022,excludes,rules,rule_opt_5do_001_excludes_opt_s47_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0023,excludes,rules,rule_opt_5do_001_excludes_opt_sfe_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0024,excludes,rules,rule_opt_5do_001_excludes_opt_spy_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spy_001,"LPO, Black lug nuts",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0025,excludes,rules,rule_opt_5do_001_excludes_opt_spz_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spz_001,"LPO, Black wheel locks",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0027,excludes,rules,rule_opt_5v7_001_excludes_opt_5vm_001,opt_5v7_001,"LPO, Black Ground Effects",opt_5vm_001,,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0028,excludes,rules,rule_opt_5v7_001_excludes_opt_5w8_001,opt_5v7_001,"LPO, Black Ground Effects",opt_5w8_001,,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0029,excludes,rules,rule_opt_5v7_001_excludes_opt_sti_001,opt_5v7_001,"LPO, Black Ground Effects",opt_sti_001,"LPO, Composite rocker extensions",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0030,excludes,rules,rule_opt_5v7_001_excludes_opt_tvs_001,opt_5v7_001,"LPO, Black Ground Effects",opt_tvs_001,Low-profile rear spoiler and front splitter,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0031,excludes,rules,rule_opt_5v7_001_excludes_opt_z51_001,opt_5v7_001,"LPO, Black Ground Effects",opt_z51_001,Z51 Performance Package,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0032,excludes,rules,rule_opt_5vm_001_excludes_opt_5v7_001,opt_5vm_001,,opt_5v7_001,"LPO, Black Ground Effects",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0033,excludes,rules,rule_opt_5vm_001_excludes_opt_5w8_001,opt_5vm_001,,opt_5w8_001,,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0034,excludes,rules,rule_opt_5vm_001_excludes_opt_sti_001,opt_5vm_001,,opt_sti_001,"LPO, Composite rocker extensions",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0035,excludes,rules,rule_opt_5vm_001_excludes_opt_tvs_001,opt_5vm_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0040,excludes,rules,rule_opt_5w8_001_excludes_opt_5v7_001,opt_5w8_001,,opt_5v7_001,"LPO, Black Ground Effects",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0041,excludes,rules,rule_opt_5w8_001_excludes_opt_5vm_001,opt_5w8_001,,opt_5vm_001,,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0042,excludes,rules,rule_opt_5w8_001_excludes_opt_sti_001,opt_5w8_001,,opt_sti_001,"LPO, Composite rocker extensions",needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0043,excludes,rules,rule_opt_5w8_001_excludes_opt_tvs_001,opt_5w8_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0049,excludes,rules,rule_opt_5zw_001_excludes_opt_t0a_001,opt_5zw_001,,opt_t0a_001,Z51 Spoiler,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0059,excludes,rules,rule_opt_bv4_001_excludes_opt_r8c_001,opt_bv4_001,Personalized Plaque,opt_r8c_001,Corvette Museum Delivery,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0060,excludes,rules,rule_opt_cf8_001_excludes_opt_dpb_001,opt_cf8_001,,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0061,excludes,rules,rule_opt_cf8_001_excludes_opt_dpc_001,opt_cf8_001,,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0062,excludes,rules,rule_opt_cf8_001_excludes_opt_dpg_001,opt_cf8_001,,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0063,excludes,rules,rule_opt_cf8_001_excludes_opt_dpl_001,opt_cf8_001,,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0064,excludes,rules,rule_opt_cf8_001_excludes_opt_dpt_001,opt_cf8_001,,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
legacy_rel_0065,excludes,rules,rule_opt_cf8_001_excludes_opt_dsy_001,opt_cf8_001,,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,needs_schema_mapping,schema_gap,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes.",pairwise_excludes_needs_model,medium,add_pairwise_excludes_schema,possible pairwise exclude/replacement/availability schema,,"Legacy pairwise excludes are not directly represented by the CSV files checked, and no exclusive-group or exact runtime-special context was found.",This does not mean a pairwise-excludes schema is definitely required; the current mapper did not find a clean existing CSV home.
