relationship_key,source_id,source_label,target_id,target_label,normalized_pair_key,original_bucket,proposed_schema_target,proposed_rule_id,directionality,runtime_action,message,scope_condition_set_id,legacy_rule_id,compiler_support_required,confidence,notes
legacy_rel_0027,opt_5v7_001,"LPO, Black Ground Effects",opt_5vm_001,,opt_5v7_001<->opt_5vm_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5v7_5vm,directional_preserved,active,Conflicts with opt_5vm_001.,,rule_opt_5v7_001_excludes_opt_5vm_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0028,opt_5v7_001,"LPO, Black Ground Effects",opt_5w8_001,,opt_5v7_001<->opt_5w8_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5v7_5w8,directional_preserved,active,Conflicts with opt_5w8_001.,,rule_opt_5v7_001_excludes_opt_5w8_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0029,opt_5v7_001,"LPO, Black Ground Effects",opt_sti_001,"LPO, Composite rocker extensions",opt_5v7_001<->opt_sti_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5v7_sti,directional_preserved,active,Conflicts with STI.,,rule_opt_5v7_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0030,opt_5v7_001,"LPO, Black Ground Effects",opt_tvs_001,Low-profile rear spoiler and front splitter,opt_5v7_001<->opt_tvs_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5v7_tvs,directional,active,Conflicts with TVS.,,rule_opt_5v7_001_excludes_opt_tvs_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0031,opt_5v7_001,"LPO, Black Ground Effects",opt_z51_001,Z51 Performance Package,opt_5v7_001<->opt_z51_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5v7_z51,directional,active,Conflicts with Z51.,,rule_opt_5v7_001_excludes_opt_z51_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0032,opt_5vm_001,,opt_5v7_001,"LPO, Black Ground Effects",opt_5v7_001<->opt_5vm_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5vm_5v7,directional_preserved,active,Conflicts with 5V7.,,rule_opt_5vm_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0033,opt_5vm_001,,opt_5w8_001,,opt_5vm_001<->opt_5w8_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5vm_5w8,directional_preserved,active,Conflicts with opt_5w8_001.,,rule_opt_5vm_001_excludes_opt_5w8_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0034,opt_5vm_001,,opt_sti_001,"LPO, Composite rocker extensions",opt_5vm_001<->opt_sti_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5vm_sti,directional_preserved,active,Conflicts with STI.,,rule_opt_5vm_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0040,opt_5w8_001,,opt_5v7_001,"LPO, Black Ground Effects",opt_5v7_001<->opt_5w8_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5w8_5v7,directional_preserved,active,Conflicts with 5V7.,,rule_opt_5w8_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0041,opt_5w8_001,,opt_5vm_001,,opt_5vm_001<->opt_5w8_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5w8_5vm,directional_preserved,active,Conflicts with opt_5vm_001.,,rule_opt_5w8_001_excludes_opt_5vm_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0042,opt_5w8_001,,opt_sti_001,"LPO, Composite rocker extensions",opt_5w8_001<->opt_sti_001,duplicate_inverse_pair,dependency_rules_excludes,dep_excl_5w8_sti,directional_preserved,active,Conflicts with STI.,,rule_opt_5w8_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,high,"Current dependency_rules.csv shape is directional. Collapsing inverse pairs into one bidirectional row would require a new directionality compiler semantic, so this dry run preserves directional rows."
legacy_rel_0059,opt_bv4_001,Personalized Plaque,opt_r8c_001,Corvette Museum Delivery,opt_bv4_001<->opt_r8c_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_bv4_r8c,directional,active,Conflicts with R8C.,,rule_opt_bv4_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0097,opt_pcu_001,"LPO, Stingray Protection Package",opt_5v7_001,"LPO, Black Ground Effects",opt_5v7_001<->opt_pcu_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcu_5v7,directional,active,Conflicts with 5V7.,,rule_opt_pcu_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0103,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_dpb_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dpb,directional,active,Conflicts with DPB.,,rule_opt_pcx_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0104,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,opt_dpc_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dpc,directional,active,Conflicts with DPC.,,rule_opt_pcx_001_excludes_opt_dpc_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0105,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,opt_dpg_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dpg,directional,active,Conflicts with DPG.,,rule_opt_pcx_001_excludes_opt_dpg_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0106,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_dpl_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dpl,directional,active,Conflicts with DPL.,,rule_opt_pcx_001_excludes_opt_dpl_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0107,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,opt_dpt_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dpt,directional,active,Conflicts with DPT.,,rule_opt_pcx_001_excludes_opt_dpt_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0108,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,opt_dsy_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dsy,directional,active,Conflicts with DSY.,,rule_opt_pcx_001_excludes_opt_dsy_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0109,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_dsz_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dsz,directional,active,Conflicts with DSZ.,,rule_opt_pcx_001_excludes_opt_dsz_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0110,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,opt_dt0_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dt0,directional,active,Conflicts with DT0.,,rule_opt_pcx_001_excludes_opt_dt0_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0111,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,opt_dth_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dth,directional,active,Conflicts with DTH.,,rule_opt_pcx_001_excludes_opt_dth_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0112,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,opt_dub_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dub,directional,active,Conflicts with DUB.,,rule_opt_pcx_001_excludes_opt_dub_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0113,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,opt_due_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_due,directional,active,Conflicts with DUE.,,rule_opt_pcx_001_excludes_opt_due_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0114,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_duk_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_duk,directional,active,Conflicts with DUK.,,rule_opt_pcx_001_excludes_opt_duk_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0115,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_duw_001,Edge Blue Full Length Dual Racing Stripes,opt_duw_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_duw,directional,active,Conflicts with DUW.,,rule_opt_pcx_001_excludes_opt_duw_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0116,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dzu_001,Carbon Flash/Competition Yellow Stinger Stripe,opt_dzu_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dzu,directional,active,Conflicts with DZU.,,rule_opt_pcx_001_excludes_opt_dzu_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0117,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dzv_001,Carbon Flash/Midnight Silver Stinger Stripe,opt_dzv_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dzv,directional,active,Conflicts with DZV.,,rule_opt_pcx_001_excludes_opt_dzv_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0118,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_dzx_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_dzx,directional,active,Conflicts with DZX.,,rule_opt_pcx_001_excludes_opt_dzx_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0119,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_eyk_001,Chrome Exterior Badge Package,opt_eyk_001<->opt_pcx_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_eyk,directional,active,Conflicts with EYK.,,rule_opt_pcx_001_excludes_opt_eyk_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0120,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_pdv_001,"LPO, Stingray R Appearance Package",opt_pcx_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_pdv,directional,active,Conflicts with PDV.,,rule_opt_pcx_001_excludes_opt_pdv_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0121,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_r8c_001,Corvette Museum Delivery,opt_pcx_001<->opt_r8c_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_r8c,directional,active,Conflicts with R8C.,,rule_opt_pcx_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0122,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_s47_001,"LPO, Chrome lug nuts",opt_pcx_001<->opt_s47_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_s47,directional,active,Conflicts with S47.,,rule_opt_pcx_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0123,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",opt_pcx_001<->opt_sb7_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_sb7,directional,active,Conflicts with SB7.,,rule_opt_pcx_001_excludes_opt_sb7_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0124,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_sfe_001,"LPO, Chrome wheel locks",opt_pcx_001<->opt_sfe_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_sfe,directional,active,Conflicts with SFE.,,rule_opt_pcx_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0125,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_spy_001,"LPO, Black lug nuts",opt_pcx_001<->opt_spy_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_spy,directional,active,Conflicts with SPY.,,rule_opt_pcx_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0126,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_spz_001,"LPO, Black wheel locks",opt_pcx_001<->opt_spz_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pcx_spz,directional,active,Conflicts with SPZ.,,rule_opt_pcx_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0131,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_dpb_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dpb,directional,active,Conflicts with DPB.,,rule_opt_pdv_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0132,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,opt_dpc_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dpc,directional,active,Conflicts with DPC.,,rule_opt_pdv_001_excludes_opt_dpc_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0133,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,opt_dpg_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dpg,directional,active,Conflicts with DPG.,,rule_opt_pdv_001_excludes_opt_dpg_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0134,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_dpl_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dpl,directional,active,Conflicts with DPL.,,rule_opt_pdv_001_excludes_opt_dpl_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0135,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,opt_dpt_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dpt,directional,active,Conflicts with DPT.,,rule_opt_pdv_001_excludes_opt_dpt_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0136,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,opt_dsy_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dsy,directional,active,Conflicts with DSY.,,rule_opt_pdv_001_excludes_opt_dsy_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0137,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_dsz_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dsz,directional,active,Conflicts with DSZ.,,rule_opt_pdv_001_excludes_opt_dsz_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0138,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,opt_dt0_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dt0,directional,active,Conflicts with DT0.,,rule_opt_pdv_001_excludes_opt_dt0_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0139,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,opt_dth_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dth,directional,active,Conflicts with DTH.,,rule_opt_pdv_001_excludes_opt_dth_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0140,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,opt_dub_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dub,directional,active,Conflicts with DUB.,,rule_opt_pdv_001_excludes_opt_dub_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0141,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,opt_due_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_due,directional,active,Conflicts with DUE.,,rule_opt_pdv_001_excludes_opt_due_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0142,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_duk_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_duk,directional,active,Conflicts with DUK.,,rule_opt_pdv_001_excludes_opt_duk_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0143,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_duw_001,Edge Blue Full Length Dual Racing Stripes,opt_duw_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_duw,directional,active,Conflicts with DUW.,,rule_opt_pdv_001_excludes_opt_duw_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0144,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dzu_001,Carbon Flash/Competition Yellow Stinger Stripe,opt_dzu_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dzu,directional,active,Conflicts with DZU.,,rule_opt_pdv_001_excludes_opt_dzu_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0145,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dzv_001,Carbon Flash/Midnight Silver Stinger Stripe,opt_dzv_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dzv,directional,active,Conflicts with DZV.,,rule_opt_pdv_001_excludes_opt_dzv_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0146,opt_pdv_001,"LPO, Stingray R Appearance Package",opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_dzx_001<->opt_pdv_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_pdv_dzx,directional,active,Conflicts with DZX.,,rule_opt_pdv_001_excludes_opt_dzx_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0153,opt_r88_001,"LPO, Illuminated crossed flags emblem",opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_dpb_001<->opt_r88_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_r88_dpb,directional,active,Conflicts with DPB.,,rule_opt_r88_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
