model_key,option_sheet,option_row,option_id,rpo,option_name,current_price,matched_future_model_source_review_rows,candidate_price,parsed_candidate_prices,price_candidate_rows,price_candidate_summary,approved_price,classification,recommended_workbook_action,notes
z06,z06_options,12,opt_d30_001,D30,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat belt color combinations",,93,1495,1495,48,row 48: 1495,,direct_price_candidate,write_options_price,"1495 | row 48: 1495 | 48 | Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat belt color combinations | To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge. | To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge."
z06,z06_options,13,opt_d3v_001,D3V,Engine lighting,,67;315,195; 195,195,184 || 184,row 184: 195 Coupe Only || row 184: 195 Coupe Only,,conditional_price_candidate,defer_to_price_rules,195 | row 184: 195 Coupe Only | 184 | Engine lighting | Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake. | Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake. | 195 | row 184: 195 Coupe Only | 184 | Engine lighting | Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake. | Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.
z06,z06_options,14,opt_drg_001,DRG,"Mirrors, outside, Carbon Flash Metallic-painted",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,15,opt_dth_001,DTH,Carbon Flash Metallic Full Length Dual Racing Stripes,,267,1295,1295,254,row 254: 1295,,direct_price_candidate,write_options_price,1295 | row 254: 1295 | 254 | Carbon Flash Metallic Full Length Dual Racing Stripes
z06,z06_options,16,opt_efr_001,EFR,"Exterior accents, Carbon Flash, side vents, rockers, splitter and front/rear grille accents",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,17,opt_eri_001,ERI,Battery Protection Package,,291,100,100,66,row 66: 100,,direct_price_candidate,write_options_price,100 | row 66: 100 | 66 | Battery Protection Package
z06,z06_options,18,opt_eyt_001,EYT,Carbon Flash Exterior Badge Package,,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,19,opt_ive_001,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,20,opt_j56_001,J56,"Brakes, 4-wheel antilock, 4-wheel disc, performance 6-piston front and 4-piston rear",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,21,opt_j6a_001,J6A,"Calipers, Black painted",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,22,opt_nga_001,NGA,"Exhaust tips, Black",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,23,opt_r8c_001,R8C,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN",,196,1695,1695,62,row 62: 1695,,direct_price_candidate,write_options_price,"1695 | row 62: 1695 | 62 | Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN | Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels. | Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels."
z06,z06_options,24,opt_sda_001,SDA,"LPO, Black recovery hook, Genuine Corvette Accessory",,227,150,150,131,row 131: 150,,direct_price_candidate,write_options_price,"150 | row 131: 150 | 131 | LPO, Black recovery hook, Genuine Corvette Accessory"
z06,z06_options,25,opt_spy_001,SPY,"LPO, Black lug nuts, Genuine Corvette Accessory",,243,320,320,146,row 146: 320,,direct_price_candidate,write_options_price,"320 | row 146: 320 | 146 | LPO, Black lug nuts, Genuine Corvette Accessory | Not available with (S47) Chrome lug nuts, LPO. | Not available with (S47) Chrome lug nuts, LPO."
z06,z06_options,26,opt_t0e_001,T0E,"Spoiler, rear",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,27,opt_uqt_001,UQT,Performance data and video recorder,,25;133,1495; 1495,1495,64 || 64,row 64: 1495 1LT/LZ || row 64: 1495 1LT/LZ,,conditional_price_candidate,defer_to_price_rules,1495 | row 64: 1495 1LT/LZ | 64 | Performance data and video recorder | 1495 | row 64: 1495 1LT/LZ | 64 | Performance data and video recorder
z06,z06_options,28,opt_uv6_001,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,29,opt_z07_001,Z07,"Z07 Performance Package, includes (J57) 4-wheel antilock, 4-wheel disc, carbon ceramic brakes with (J6D) Dark Gray Metallic-painted calipers, (FE7) Z07 suspension with Magnetic Selective Ride Control and (XFS) 275/30ZR20 front and 345/25ZR21 rear Michelin Pilot Sport Cup 2 R ultra performance tires; (J6D) Dark Gray Metallic-painted calipers can be upgraded at additional cost to one of the following painted caliper colors: (J6B) Blue, (J6F) Bright Red, (J6N) Edge Red, (J6L) Orange, or (J6E) Velocity Yellow",,335,9500,9500,223,row 223: 9500 Requires T0F or T0G,,direct_price_candidate,write_options_price,"9500 | row 223: 9500 Requires T0F or T0G | 223 | Z07 Performance Package, includes (J57) 4-wheel antilock, 4-wheel disc, carbon ceramic brakes with (J6D) Dark Gray Metallic-painted calipers, (FE7) Z07 suspension with Magnetic Selective Ride Control and (XFS) 275/30ZR20 front and 345/25ZR21 rear Michelin Pilot Sport Cup 2 R ultra performance tires; (J6D) Dark Gray Metallic-painted calipers can be upgraded at additional cost to one of the following painted caliper colors: (J6B) Blue, (J6F) Bright Red, (J6N) Edge Red, (J6L) Orange, or (J6E) Velocity Yellow | Requires (CFZ) Carbon Flash-painted carbon fiber ground effects and (T0F) Carbon Flash-painted Carbon Fiber Aero Package or (CFV) visible carbon fiber ground effects and (T0G) Visible Carbon Fiber Aero Package. Included with (PDD/PDF) Z07 Aero and Wheel Package. | Requires (CFZ) Carbon Flash-painted carbon fiber ground effects and (T0F)…"
z06,z06_options,30,opt_c2z_001,C2Z,"Roof panel, visible carbon fiber with body-color surround, removable",,57;253,2595; 2595,2595,230 || 230,row 230: 2595 Coupe Only || row 230: 2595 Coupe Only,,conditional_price_candidate,defer_to_price_rules,"2595 | row 230: 2595 Coupe Only | 230 | Roof panel, visible carbon fiber with body-color surround, removable | 2595 | row 230: 2595 Coupe Only | 230 | Roof panel, visible carbon fiber with body-color surround, removable"
z06,z06_options,31,opt_sl9_001,SL9,"LPO, Engine specification plaque, Genuine Corvette Accessory",,74;325,125; 125,125,141 || 141,row 141: 125 || row 141: 125,,direct_price_candidate,write_options_price,"125 | row 141: 125 | 141 | LPO, Engine specification plaque, Genuine Corvette Accessory | Included with (B6P/ZZ3) Engine Appearance Package. | Included with (B6P/ZZ3) Engine Appearance Package. | 125 | row 141: 125 | 141 | LPO, Engine specification plaque, Genuine Corvette Accessory | Included with (B6P/ZZ3) Engine Appearance Package. | Included with (B6P/ZZ3) Engine Appearance Package."
z06,z06_options,32,opt_cc3_001,CC3,"Roof panel, transparent, removable",,252,995,995,231,row 231: 995 Coupe Only,,conditional_price_candidate,defer_to_price_rules,"995 | row 231: 995 Coupe Only | 231 | Roof panel, transparent, removable"
z06,z06_options,33,opt_e60_001,E60,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",,203,2995,2995,49,row 49: 2995 2LT/LZ or 3LT/LZ,,conditional_price_candidate,defer_to_price_rules,"2995 | row 49: 2995 2LT/LZ or 3LT/LZ | 49 | Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system"
z06,z06_options,34,opt_j6d_001,J6D,"Calipers, Dark Gray Metallic-painted",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,35,opt_3n9_001,3N9,"Seat belt color, Natural",,141,595,595,206,row 206: 595 Std with HZN and HUF,,conditional_price_candidate,defer_to_price_rules,"595 | row 206: 595 Std with HZN and HUF | 206 | Seat belt color, Natural | Recommended with (HTA, HTJ) Jet Black interior.
Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors. | Recommended with (HTA, HTJ) Jet Black interior.
Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors."
z06,z06_options,36,opt_baz_001,BAZ,"Stealth Interior Trim Package, dark finish aluminum trim",,167,695,695,207,row 207: 695 2LT/LZ or 3LT/3LZ,,conditional_price_candidate,defer_to_price_rules,"695 | row 207: 695 2LT/LZ or 3LT/3LZ | 207 | Stealth Interior Trim Package, dark finish aluminum trim"
z06,z06_options,37,opt_bcw_001,BCW,"Engine intake, Red",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,38,opt_cm9_001,CM9,"Convertible top, retractable, power-folding hard top, painted body-color roof, remote control (down only), includes power glass rear window with integral defogger",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,39,opt_dub_001,DUB,Sterling Silver Full Length Dual Racing Stripes,,270,1295,1295,255,row 255: 1295,,direct_price_candidate,write_options_price,1295 | row 255: 1295 | 255 | Sterling Silver Full Length Dual Racing Stripes
z06,z06_options,40,opt_edu_001,EDU,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",,201,995,995,185,row 185: 995,,direct_price_candidate,write_options_price,"995 | row 185: 995 | 185 | Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents | Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered.
Tonneau grille is Carbon Flash-painted. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered. | Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered.
Tonneau grille is Carbon Flash-painted. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered."
z06,z06_options,41,opt_eyk_001,EYK,Chrome Exterior Badge Package,,192,395,395,188,row 188: 395,,direct_price_candidate,write_options_price,395 | row 188: 395 | 188 | Chrome Exterior Badge Package
z06,z06_options,42,opt_iwe_001,IWE,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,43,opt_j57_001,J57,"Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,44,opt_j6f_001,J6F,"Calipers, Bright Red-painted",,301,795,795,72,row 72: 795,,direct_price_candidate,write_options_price,"795 | row 72: 795 | 72 | Calipers, Bright Red-painted"
z06,z06_options,45,opt_pin_001,PIN,Customer VIN ending reservation,,197,5495,5495,60,row 60: 5495,,direct_price_candidate,write_options_price,5495 | row 60: 5495 | 60 | Customer VIN ending reservation | This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only. | This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.
z06,z06_options,46,opt_ppw_001,PPW,Wireless Apple CarPlay/Wireless Android Auto,,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,47,opt_r6x_001,R6X,Custom Interior Trim and Seat Combination,,94,995,995,61,row 61: 995 3LT/LZ Only,,conditional_price_candidate,defer_to_price_rules,"995 | row 61: 995 3LT/LZ Only | 61 | Custom Interior Trim and Seat Combination | SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart. | SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart."
z06,z06_options,48,opt_sfz_001,SFZ,"LPO, Dark Stealth crossed flags emblems, front and rear on Z06 models, front and rear on Grand Sport, Z06, ZR1 and ZR1X models, Genuine Corvette Accessory",,221,250,250,133,row 133: 250,,direct_price_candidate,write_options_price,"250 | row 133: 250 | 133 | LPO, Dark Stealth crossed flags emblems, front and rear on Z06 models, front and rear on Grand Sport, Z06, ZR1 and ZR1X models, Genuine Corvette Accessory | Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW). Included with (PCZ) Tech Bronze Accent Package, LPO. | Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW). Included with (PCZ) Tech Bronze Accent Package, LPO."
z06,z06_options,49,opt_spz_001,SPZ,"LPO, Black wheel locks, Genuine Corvette Accessory",,241,105,105,147,row 147: 105,,direct_price_candidate,write_options_price,"105 | row 147: 105 | 147 | LPO, Black wheel locks, Genuine Corvette Accessory | Requires (SPY) Black lug nuts, LPO. | Requires (SPY) Black lug nuts, LPO."
z06,z06_options,50,opt_t0f_001,T0F,"Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects",,189,8995,8995,189,row 189: 8995 Includes CFZ Ground Effects,,direct_price_candidate,write_options_price,"8995 | row 189: 8995 Includes CFZ Ground Effects | 189 | Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects | Included with (PDD) Z07 Carbon Flash Aero and Wheel Package. | Included with (PDD) Z07 Carbon Flash Aero and Wheel Package."
z06,z06_options,51,opt_tr7_001,TR7,"Headlamp control, automatic leveling system",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,52,opt_u80_001,U80,"Compass, digital",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,53,opt_uhy_001,UHY,Automatic Emergency Braking,,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,54,opt_uvb_001,UVB,HD Rear Vision Camera,,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,55,opt_wub_001,WUB,"NEW!Exhaust, quad center exit",,69;317,1995; 1995,1995,169 || 169,row 169: 1995 || row 169: 1995,,direct_price_candidate,write_options_price,"1995 | row 169: 1995 | 169 | NEW!Exhaust, quad center exit | 1995 | row 169: 1995 | 169 | NEW!Exhaust, quad center exit"
z06,z06_options,56,opt_r88_001,R88,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory",,222,695,695,111,row 111: 695,,direct_price_candidate,write_options_price,"695 | row 111: 695 | 111 | LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory | Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW). | Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."
z06,z06_options,57,opt_ah2_001,AH2,"Seats, GT2 bucket",,146,1695,1695,237,row 237: 1695 2LT/LZ Only; Std on 3LT/LZ,,conditional_price_candidate,defer_to_price_rules,"1695 | row 237: 1695 2LT/LZ Only; Std on 3LT/LZ | 237 | Seats, GT2 bucket"
z06,z06_options,58,opt_379_001,379,"Seat belt color, Orange",,140,595,595,200,row 200: 595 Std with HUW/HUX Habanero Interiors,,conditional_price_candidate,defer_to_price_rules,"595 | row 200: 595 Std with HUW/HUX Habanero Interiors | 200 | Seat belt color, Orange | Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors.
Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero interiors. | Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors.
Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero in…"
z06,z06_options,59,opt_5zv_001,5ZV,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory",,233,2075,2075,99,row 99: 2075,,direct_price_candidate,write_options_price,"2075 | row 99: 2075 | 99 | LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory | Not available with T0F, T0G, 5V5. | Not available with T0F, T0G, 5V5."
z06,z06_options,60,opt_bv4_001,BV4,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN",,134,395,395,47,row 47: 395,,direct_price_candidate,write_options_price,"395 | row 47: 395 | 47 | Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN | Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery. | Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery."
z06,z06_options,61,opt_cfl_001,CFL,"NEW!Ground effects, extended front splitter",,207,995,995,181,row 181: 995,,direct_price_candidate,write_options_price,"995 | row 181: 995 | 181 | NEW!Ground effects, extended front splitter | Not available with (CFV/CFZ) ground effects. | Not available with (CFV/CFZ) ground effects."
z06,z06_options,62,opt_cfx_001,CFX,"Plaque, personalized with Corvette Museum logo, your name and VIN",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,63,opt_dt0_001,DT0,Competition Yellow Full Length Dual Racing Stripes,,271,1295,1295,252,row 252: 1295,,direct_price_candidate,write_options_price,1295 | row 252: 1295 | 252 | Competition Yellow Full Length Dual Racing Stripes | Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic. | Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.
z06,z06_options,64,opt_fa5_001,FA5,"Trim, interior, carbon fiber cluster-surround and console/door switch plates",,170,1795,1795,209,row 209: 1795 2LT/LZ or 3LT/LZ,,conditional_price_candidate,defer_to_price_rules,"1795 | row 209: 1795 2LT/LZ or 3LT/LZ | 209 | Trim, interior, carbon fiber cluster-surround and console/door switch plates"
z06,z06_options,65,opt_j6e_001,J6E,"Calipers, Velocity Yellow-painted",,300,795,795,71,row 71: 795,,direct_price_candidate,write_options_price,"795 | row 71: 795 | 71 | Calipers, Velocity Yellow-painted"
z06,z06_options,66,opt_npp_001,NPP,"Exhaust, performance, aggressive exhaust sound varies with driver mode selected",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,67,opt_nwi_001,NWI,"NEW!Exhaust tips, bright, center, quad, exposed",,319,395,395,168,row 168: 395 Requires (WUB) center quad exhaust system,,direct_price_candidate,write_options_price,"395 | row 168: 395 Requires (WUB) center quad exhaust system | 168 | NEW!Exhaust tips, bright, center, quad, exposed"
z06,z06_options,68,opt_pef_001,PEF,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",,107,475,475,110,row 110: 475,,direct_price_candidate,write_options_price,"475 | row 110: 475 | 110 | LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory"
z06,z06_options,69,opt_s47_001,S47,"LPO, Chrome lug nuts, Genuine Corvette Accessory",,244,275,275,126,row 126: 275,,direct_price_candidate,write_options_price,"275 | row 126: 275 | 126 | LPO, Chrome lug nuts, Genuine Corvette Accessory | Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels. | Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels."
z06,z06_options,70,opt_sbt_001,SBT,"LPO, Dual roof, adds transparent removable roof panel and includes (SC7) roof panel storage pouch, Genuine Corvette Accessories",,228,2525,2525,129,row 129: 2525,,direct_price_candidate,write_options_price,"2525 | row 129: 2525 | 129 | LPO, Dual roof, adds transparent removable roof panel and includes (SC7) roof panel storage pouch, Genuine Corvette Accessories | Not available with (CC3) transparent, removable roof panel. | Not available with (CC3) transparent, removable roof panel."
z06,z06_options,71,opt_ueu_001,UEU,Forward Collision Alert,,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,72,opt_uqh_001,UQH,"Audio system feature, Bose Performance Series Sound System with 14 speakers",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,73,opt_uqs_001,UQS,"Audio system feature, Bose Premium 10-speaker system",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,74,opt_zyc_001,ZYC,"Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors",,247,295,295,192,row 192: 295 Includes spoiler as well when the vehicle is equipped with painted spoiler,,direct_price_candidate,write_options_price,"295 | row 192: 295 Includes spoiler as well when the vehicle is equipped with painted spoiler | 192 | Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors | Not available with exterior color (GBA) Black. | Not available with exterior color (GBA) Black."
z06,z06_options,75,opt_ria_001,RIA,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory",,112,265,265,112,row 112: 265,,direct_price_candidate,write_options_price,"265 | row 112: 265 | 112 | LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory | Included with (PEF) Contoured Liner Protection Package, LPO. | Included with (PEF) Contoured Liner Protection Package, LPO."
z06,z06_options,76,opt_sc7_001,SC7,"LPO, Roof panel storage pouch, Genuine Corvette Accessory",,120,195,195,130,row 130: 195,,direct_price_candidate,write_options_price,"195 | row 130: 195 | 130 | LPO, Roof panel storage pouch, Genuine Corvette Accessory | Included with (SBT) dual roof, LPO. | Included with (SBT) dual roof, LPO."
z06,z06_options,77,opt_cav_001,CAV,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory",,111,230,230,101,row 101: 230,,direct_price_candidate,write_options_price,"230 | row 101: 230 | 101 | LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory | Included with (PEF) Contoured Liner Protection Package, LPO. | Included with (PEF) Contoured Liner Protection Package, LPO."
z06,z06_options,78,opt_cfz_001,CFZ,"Ground effects, carbon fiber, Carbon Flash-painted",,205,3495,3495,183,row 183: 3495,,direct_price_candidate,write_options_price,"3495 | row 183: 3495 | 183 | Ground effects, carbon fiber, Carbon Flash-painted | Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package. | Included with (T0F) Carbon Flash-painted Carbon Fiber Aero Package."
z06,z06_options,79,opt_3a9_001,3A9,"Seat belt color, Santorini Blue",,142,595,595,203,row 203: 595 Std with HT8 and HAG Interior,,conditional_price_candidate,defer_to_price_rules,"595 | row 203: 595 Std with HT8 and HAG Interior | 203 | Seat belt color, Santorini Blue | Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors.
Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior. | Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors.
Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black inter…"
