source,source_sheet,source_row,model_key,severity,reason,raw_values,suspicion_type,review_bucket,recommended_action,section_family,rpo,raw_value,classification_reason,readiness_impact,decision_review_status,decision_classification,decision_canonical_handling,decision_recommended_action
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,11,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,12,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,12,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,13,,info,color_trim_model_key_ambiguous,"[""3LT"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""EL98""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""EL98""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,14,,info,color_trim_model_key_ambiguous,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,5,,info,color_trim_model_key_ambiguous,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,5,,info,color_trim_model_key_ambiguous,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,5,,info,color_trim_model_key_ambiguous,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,6,,info,color_trim_model_key_ambiguous,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,7,,info,color_trim_model_key_ambiguous,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,7,,info,color_trim_model_key_ambiguous,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
