source_sheet,source_row,guide_family,model_key,model_key_confidence,source_field,raw_text,phrase_type,extracted_rpos,confidence,review_status,notes
Standard Equipment 2,65,corvette,grand_sport,high,description,"Calipers, Dark Gray Metallic-painted
1. Included and only available with (J57) carbon ceramic brakes.",only_available_with,J57,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,68,corvette,grand_sport,high,description,"LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",only_available_with,LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,69,corvette,grand_sport,high,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",included_with,B6P|BC4|BCP|BCS|LS6,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,72,corvette,grand_sport,high,description,"NEW!  Exhaust, quad center exit
1. Included with (FEY) Z52 Track Performance Package.",included_with,FEY|NEW|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,73,corvette,grand_sport,high,description,"Tires, 275/30ZR20 front and 345/25ZR21 rear, blackwall, high performance
1. Included and only available with (FEB) Z52 Sport Performance Package.",only_available_with,275|345|FEB|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,76,corvette,grand_sport,high,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,26,corvette,z06,high,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,52,corvette,z06,high,description,"Ground effects, visible carbon fiber
1. Included with (T0G) Visible Carbon Fiber Aero Package.",included_with,T0G,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,66,corvette,z06,high,description,"Calipers, Dark Gray Metallic-painted
1. Included and only available with (J57) carbon ceramic brakes.",only_available_with,J57,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,69,corvette,z06,high,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.",included_with,B6P|BCW,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,76,corvette,z06,high,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,26,corvette,,needs_review,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,59,corvette,,needs_review,description,"Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, 10-piston front, 6-piston rear
1. Included and only available with (ZTK) ZTK Performance Package.",only_available_with,ZTK,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,77,corvette,,needs_review,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,29,corvette,stingray,high,description,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",requires,635|866|FGO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,29,corvette,stingray,high,description,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",not_available_with,635|866|FGO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,31,corvette,stingray,high,description,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",requires,HMO|HU0|HUU|HVT|HVV|HXO|HZB|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,36,corvette,stingray,high,description,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",included_with,LPO|PEF,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,37,corvette,stingray,high,description,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",included_with,LPO|PEF,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,38,corvette,stingray,high,description,"LPO, First Aid Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",included_with,LPO|PDY,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,43,corvette,stingray,high,description,"LPO, Highway Safety Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",included_with,LPO|PDY,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,45,corvette,stingray,high,description,"LPO, Roof panel storage pouch, Genuine Corvette Accessory
1. Included with (SBT) dual roof, LPO.",included_with,LPO|SBT,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,47,corvette,stingray,high,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years.",requires,284|BFU|FBC|FNR|R9V|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,47,corvette,stingray,high,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years.",not_available_with,284|BFU|FBC|FNR|R9V|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,48,corvette,stingray,high,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year.",requires,284|BFU|R9W|R9Y|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,48,corvette,stingray,high,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year.",not_available_with,284|BFU|R9W|R9Y|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,49,corvette,stingray,high,description,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types.",requires,284|BFU|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,49,corvette,stingray,high,description,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types.",deletes,284|BFU|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,50,corvette,stingray,high,description,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,53,corvette,stingray,high,description,"Seat belt color, Orange
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero interiors.",included_with,EJH|EPX|HAG|HNK|HU2|HU7|HUA|HUF|HUL|HUQ|HUR|HUU|HUW|HUX|HVZ|HZN|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,54,corvette,stingray,high,description,"Seat belt color, Natural
1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors.",included_with,EJH|EPX|H1Y|HMO|HTA|HTE|HTG|HTJ|HTM|HTN|HTP|HTQ|HTT|HU0|HUE|HUF|HUV|HVV|HXO|HZN,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,55,corvette,stingray,high,description,"Seat belt color, Santorini Blue
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior.",included_with,EJH|EPX|H8T|HAG|HNK|HU2|HU7|HUA|HUL|HUQ|HUR|HUU|HUW|HUX|HVZ|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,56,corvette,stingray,high,description,"Seat belt color, Torch Red
1. Not recommended with (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HNK) Adrenaline Red Dipped interior.",included_with,EJH|EPX|HNK|HUW|HUX,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,60,corvette,stingray,high,description,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket
1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",requires,GT2|HAG|HVZ,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,61,corvette,stingray,high,description,"Seats, two-tone
1. Requires (AH2) GT2 seats. Available with (HUK/HU6) Sky Cool Gray, (HUL/HU7) Adrenaline Red, (HTN/HTQ) Natural interiors.
2. Requires (AH2) GT2 seats. Available with (HU1/HU9) Sky Cool Gray, (HU2/HUA) Adrenaline Red, (HUE/HTG) Natural, (HMO/HVV) Jet Black/Sky Cool Gray, (HU0/HXO) Jet Black/Adrenaline Red interiors.",requires,AH2|GT2|HMO|HTG|HTN|HTQ|HU0|HU1|HU2|HU6|HU7|HU9|HUA|HUE|HUK|HUL|HVV|HXO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,62,corvette,stingray,high,description,"Steering wheel, sueded microfiber-wrapped
1. Requires (HTJ) Jet Black interior.
2. Requires leather seating surfaces with perforated sueded microfiber inserts interior: HTP, HU6, HU7, HTQ.
3. Requires leather seating surfaces with perforated sueded microfiber inserts interiors: HTT, HU9, HUA, HTG, HUF, HMO, HVT, HXO, HZP, HUX, EPX, HUB.",requires,EPX|HMO|HTG|HTJ|HTP|HTQ|HTT|HU6|HU7|HU9|HUA|HUB|HUF|HUX|HVT|HXO|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,63,corvette,stingray,high,description,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HUB|HUC,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,64,corvette,stingray,high,description,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HU0|HUB|HUC|HXO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,65,corvette,stingray,high,description,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",requires,H1Y|HTE|HTM|HTP|HTT|HUB|HUC,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,stingray,high,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",requires,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,stingray,high,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",not_available_with,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,stingray,high,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",removes,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,68,corvette,stingray,high,description,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",deletes,5VM|5W8|5ZU|5ZW|5ZZ|T0A|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,70,corvette,stingray,high,description,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,71,corvette,stingray,high,description,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,72,corvette,stingray,high,description,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN
1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.",not_available_with,728|BAC|CFX|LPO|VIN,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,74,corvette,stingray,high,description,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",not_available_with,GBA,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,77,corvette,stingray,high,description,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",requires,,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,78,corvette,stingray,high,description,"LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories
1. Not available with (5V7) Black Ground Effects, LPO.
2. Not available with 5V7, 5VM, 5W8.",not_available_with,5V7|5VM|5W8|LPO|STI|VQK|VWE,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,79,corvette,stingray,high,description,"LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory
1. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",not_available_with,DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|DZU|DZV|DZX|LPO|RPO|SB7|VWD,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,80,corvette,stingray,high,description,"LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories
1. Not available with R8C, SPZ, SFE, SPY, S47, EYK, PDV, SB7 or RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",not_available_with,5DG|DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|DZU|DZV|DZX|EYK|LPO|PDV|R8C|RPO|S47|SB7|SFE|SFZ|SHT|SNG|SPY|SPZ,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,82,corvette,stingray,high,description,"LPO, Premium indoor car cover, Black with crossed flags logo and access panels, Genuine Corvette Accessory
1. Not available with 5ZU, 5ZW, 5ZZ.",not_available_with,5ZU|5ZW|5ZZ|LPO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,84,corvette,stingray,high,description,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory
1. When ordered with one of the following spoilers: 5ZU, 5ZZ, 5ZW, High Wing version is provided.",when_ordered_with,5ZU|5ZW|5ZZ|GT3|LPO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,85,corvette,stingray,high,description,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory
1. Not available with (Z51) Z51 Performance Package.",not_available_with,LPO|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,86,corvette,stingray,high,description,"LPO, Premium outdoor car cover, Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo
1. Not available with 5ZU, 5ZW, 5ZZ, Z51.",not_available_with,5ZU|5ZW|5ZZ|LPO|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,87,corvette,stingray,high,description,"LPO, Visible Carbon Fiber door intake trim, Genuine Corvette Accessory
1. Not available at this time. Not available with (EFY) body-color exterior accents.",not_available_with,EFY|LPO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,88,corvette,stingray,high,description,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory
1. Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW). Included with (PCX) Tech Bronze Accent Package, LPO.",included_with,DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|EYK|LPO|PCX,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,88,corvette,stingray,high,description,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory
1. Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW). Included with (PCX) Tech Bronze Accent Package, LPO.",not_available_with,DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|EYK|LPO|PCX,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,89,corvette,stingray,high,description,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory
1. Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",not_available_with,DPB|DPC|DPG|DPL|DPT|DSY|DSZ|DT0|DTB|DTH|DUB|DUE|DUK|DUW|EYK|LPO|SFZ,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,91,corvette,stingray,high,description,"LPO, Visible Carbon Fiber grille insert, Genuine Corvette Accessory
1. Not available with (EFY) body-color exterior accents.",not_available_with,EFY|LPO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,92,corvette,stingray,high,description,"LPO, Front radiator grille screens, Genuine Corvette Accessory
1. Included with (PCU) Stingray Protection Package, LPO.",included_with,LPO|PCU,high,needs_review,Staging candidate only; no canonical rule generated.
