source_sheet,source_row,guide_family,model_key,model_key_confidence,equipment_group_rpo,orderable_rpo,ref_rpo,description,row_kind,matched_primary_row_key,match_status,source_detail_raw
Equipment Groups 1,29,corvette,stingray,high,R6P,R6P,,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",derived_cross_check,,unmatched_primary_review,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries."
Equipment Groups 1,30,corvette,stingray,high,D30,D30,,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",derived_cross_check,,unmatched_primary_review,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge."
Equipment Groups 1,31,corvette,stingray,high,R6X,R6X,,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",derived_cross_check,,unmatched_primary_review,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart."
Equipment Groups 1,32,corvette,stingray,high,PEF,PEF,,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory"
Equipment Groups 1,33,corvette,stingray,high,PDY,PDY,,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory"
Equipment Groups 1,34,corvette,stingray,high,W2D,W2D,,"LPO, Cargo net set, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Cargo net set, Genuine Corvette Accessory"
Equipment Groups 1,35,corvette,stingray,high,RWU,RWU,,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory"
Equipment Groups 1,36,corvette,stingray,high,CAV,CAV,,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",derived_cross_check,,unmatched_primary_review,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO."
Equipment Groups 1,37,corvette,stingray,high,RIA,RIA,,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",derived_cross_check,,unmatched_primary_review,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO."
Equipment Groups 1,38,corvette,stingray,high,RYT,RYT,,"LPO, First Aid Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",derived_cross_check,,unmatched_primary_review,"LPO, First Aid Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package."
Equipment Groups 1,39,corvette,stingray,high,VYW,VYW,,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory"
Equipment Groups 1,40,corvette,stingray,high,SXB,SXB,,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory"
Equipment Groups 1,41,corvette,stingray,high,SXR,SXR,,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory"
Equipment Groups 1,42,corvette,stingray,high,SXT,SXT,,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory"
Equipment Groups 1,43,corvette,stingray,high,S08,S08,,"LPO, Highway Safety Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",derived_cross_check,,unmatched_primary_review,"LPO, Highway Safety Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package."
Equipment Groups 1,44,corvette,stingray,high,S2L,S2L,,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory"
Equipment Groups 1,45,corvette,stingray,high,SC7,SC7,,"LPO, Roof panel storage pouch, Genuine Corvette Accessory
1. Included with (SBT) dual roof, LPO.",derived_cross_check,,unmatched_primary_review,"LPO, Roof panel storage pouch, Genuine Corvette Accessory
1. Included with (SBT) dual roof, LPO."
Equipment Groups 1,46,corvette,stingray,high,V8X,V8X,,"LPO, Visible Carbon Fiber sill plates Genuine Corvette Accessory
1. Not available at this time.",derived_cross_check,,unmatched_primary_review,"LPO, Visible Carbon Fiber sill plates Genuine Corvette Accessory
1. Not available at this time."
Equipment Groups 1,47,corvette,stingray,high,R9Y,R9Y,,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years.",derived_cross_check,,unmatched_primary_review,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years."
Equipment Groups 1,48,corvette,stingray,high,R9V,R9V,,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year.",derived_cross_check,,unmatched_primary_review,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE or Fleet order types. Not available with (R9Y) Mobile Service Plus for 1 year."
Equipment Groups 1,49,corvette,stingray,high,R9W,R9W,,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types.",derived_cross_check,,unmatched_primary_review,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances
1. Requires a dealer with a BFU of 284. Requires TRE, SRE or Fleet order types."
Equipment Groups 1,50,corvette,stingray,high,PRB,PRB,,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.",derived_cross_check,,unmatched_primary_review,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations."
Equipment Groups 1,51,corvette,stingray,high,UQT,UQT,,Performance data and video recorder,derived_cross_check,,unmatched_primary_review,Performance data and video recorder
Equipment Groups 1,52,corvette,stingray,high,BV4,BV4,,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN
1. Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery.",derived_cross_check,,unmatched_primary_review,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN
1. Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery."
Equipment Groups 1,53,corvette,stingray,high,379,379,,"Seat belt color, Orange
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero interiors.",derived_cross_check,,unmatched_primary_review,"Seat belt color, Orange
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EJH, EPX) Very Dark Atmosphere interiors or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Included with (HUW, HUX) Habanero interiors."
Equipment Groups 1,54,corvette,stingray,high,3N9,3N9,,"Seat belt color, Natural
1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors.",derived_cross_check,,unmatched_primary_review,"Seat belt color, Natural
1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HTG, HUE) Natural interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HUF, HZN) Natural Dipped interiors."
Equipment Groups 1,55,corvette,stingray,high,3A9,3A9,,"Seat belt color, Santorini Blue
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Seat belt color, Santorini Blue
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior."
Equipment Groups 1,56,corvette,stingray,high,3F9,3F9,,"Seat belt color, Torch Red
1. Not recommended with (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HNK) Adrenaline Red Dipped interior.",derived_cross_check,,unmatched_primary_review,"Seat belt color, Torch Red
1. Not recommended with (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (HNK) Adrenaline Red Dipped interior."
Equipment Groups 1,57,corvette,stingray,high,3M9,3M9,,"Seat belt color, Yellow
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Seat belt color, Yellow
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior."
Equipment Groups 1,58,corvette,stingray,high,AH2,AH2,,"Seats, GT2 bucket",derived_cross_check,,unmatched_primary_review,"Seats, GT2 bucket"
Equipment Groups 1,59,corvette,stingray,high,AE4,AE4,,"Seats, Competition Sport bucket",derived_cross_check,,unmatched_primary_review,"Seats, Competition Sport bucket"
Equipment Groups 1,60,corvette,stingray,high,AUP,AUP,,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket
1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket
1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior."
Equipment Groups 1,61,corvette,stingray,high,TU7,TU7,,"Seats, two-tone
1. Requires (AH2) GT2 seats. Available with (HUK/HU6) Sky Cool Gray, (HUL/HU7) Adrenaline Red, (HTN/HTQ) Natural interiors.
2. Requires (AH2) GT2 seats. Available with (HU1/HU9) Sky Cool Gray, (HU2/HUA) Adrenaline Red, (HUE/HTG) Natural, (HMO/HVV) Jet Black/Sky Cool Gray, (HU0/HXO) Jet Black/Adrenaline Red interiors.",derived_cross_check,,unmatched_primary_review,"Seats, two-tone
1. Requires (AH2) GT2 seats. Available with (HUK/HU6) Sky Cool Gray, (HUL/HU7) Adrenaline Red, (HTN/HTQ) Natural interiors.
2. Requires (AH2) GT2 seats. Available with (HU1/HU9) Sky Cool Gray, (HU2/HUA) Adrenaline Red, (HUE/HTG) Natural, (HMO/HVV) Jet Black/Sky Cool Gray, (HU0/HXO) Jet Black/Adrenaline Red interiors."
Equipment Groups 1,62,corvette,stingray,high,N26,N26,,"Steering wheel, sueded microfiber-wrapped
1. Requires (HTJ) Jet Black interior.
2. Requires leather seating surfaces with perforated sueded microfiber inserts interior: HTP, HU6, HU7, HTQ.
3. Requires leather seating surfaces with perforated sueded microfiber inserts interiors: HTT, HU9, HUA, HTG, HUF, HMO, HVT, HXO, HZP, HUX, EPX, HUB.",derived_cross_check,,unmatched_primary_review,"Steering wheel, sueded microfiber-wrapped
1. Requires (HTJ) Jet Black interior.
2. Requires leather seating surfaces with perforated sueded microfiber inserts interior: HTP, HU6, HU7, HTQ.
3. Requires leather seating surfaces with perforated sueded microfiber inserts interiors: HTT, HU9, HUA, HTG, HUF, HMO, HVT, HXO, HZP, HUX, EPX, HUB."
Equipment Groups 1,63,corvette,stingray,high,37S,37S,,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior."
Equipment Groups 1,64,corvette,stingray,high,38S,38S,,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior."
Equipment Groups 1,65,corvette,stingray,high,36S,36S,,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior.",derived_cross_check,,unmatched_primary_review,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior."
Equipment Groups 1,66,corvette,stingray,high,BAZ,BAZ,,"Stealth Interior Trim Package, dark finish aluminum trim",derived_cross_check,,unmatched_primary_review,"Stealth Interior Trim Package, dark finish aluminum trim"
Equipment Groups 1,67,corvette,stingray,high,FA5,FA5,,"Trim, interior, carbon fiber cluster-surround and console/door switch plates",derived_cross_check,,unmatched_primary_review,"Trim, interior, carbon fiber cluster-surround and console/door switch plates"
Equipment Groups 1,68,corvette,stingray,high,ZF1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",derived_cross_check,,unmatched_primary_review,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
Equipment Groups 1,69,corvette,stingray,high,EYK,EYK,,Chrome Exterior Badge Package,derived_cross_check,,unmatched_primary_review,Chrome Exterior Badge Package
Equipment Groups 1,70,corvette,stingray,high,D84,D84,,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",derived_cross_check,,unmatched_primary_review,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
Equipment Groups 1,71,corvette,stingray,high,D86,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",derived_cross_check,,unmatched_primary_review,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
Equipment Groups 1,72,corvette,stingray,high,R8C,R8C,,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN
1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.",derived_cross_check,,unmatched_primary_review,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN
1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels."
Equipment Groups 1,73,corvette,stingray,high,PIN,PIN,,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.",derived_cross_check,,unmatched_primary_review,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only."
Equipment Groups 1,74,corvette,stingray,high,EFY,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",derived_cross_check,,unmatched_primary_review,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
