proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,conflict_type,proposal_value,canonical_value,recommended_action
prop_stingray_exterior_rnx,stingray,RNX,opt_rnx_001,description_mismatch,"LPO, Premium outdoor car cover, Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo","Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo",Review description before apply.
prop_stingray_exterior_rwh,stingray,RWH,opt_rwh_001,description_mismatch,"LPO, Premium indoor car cover, Black with crossed flags logo, Genuine Corvette Accessory","Black with crossed flags logo, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_rwj,stingray,RWJ,opt_rwj_001,description_mismatch,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory","Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory",Review description before apply.
prop_stingray_interior_rwu,stingray,RWU,opt_rwu_001,description_mismatch,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory","Collapsible, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_rxh,stingray,RXH,opt_rxh_001,description_mismatch,"LPO, Silver wheel center caps with Stingray logo and Red outline, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_rxj,stingray,RXJ,opt_rxj_001,description_mismatch,"LPO, Black wheel center caps with Gray Stingray logo, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_interior_s2l,stingray,S2L,opt_s2l_001,description_mismatch,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_sb7,stingray,SB7,opt_sb7_001,description_mismatch,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_sda,stingray,SDA,opt_sda_001,description_mismatch,"LPO, Black recovery hook, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_sfz,stingray,SFZ,opt_sfz_001,description_mismatch,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory","Front on Stingray models, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_shq,stingray,SHQ,opt_shq_001,description_mismatch,"LPO, Fender hash stripes, Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory","Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_sht,stingray,SHT,opt_sht_001,description_mismatch,"LPO, Jake hood graphic with Tech Bronze accent, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_shw,stingray,SHW,opt_shw_001,description_mismatch,"LPO, Fender hash stripes, Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory","Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_sl1,stingray,SL1,opt_sl1_001,description_mismatch,"LPO, Premium indoor car cover, Red with Stingray logo, Genuine Corvette Accessory","Red with Stingray logo, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_sl8,stingray,SL8,opt_sl8_001,description_mismatch,"LPO, Rear Corvette script badge in Edge Red, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_mechanical_sl9,stingray,SL9,opt_sl9_001,description_mismatch,"LPO, Engine specification plaque, Genuine Corvette Accessory",LPO,Review description before apply.
prop_stingray_standard_equipment_sl9,stingray,SL9,opt_sl9_001,description_mismatch,"LPO, Engine specification plaque, Genuine Corvette Accessory",LPO,Review description before apply.
prop_stingray_mechanical_slk,stingray,SLK,opt_slk_001,description_mismatch,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","Edge Red, Genuine Corvette Accessory",Review description before apply.
prop_stingray_mechanical_sln,stingray,SLN,opt_sln_001,description_mismatch,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_sng,stingray,SNG,opt_sng_001,description_mismatch,"LPO, Fender hash stripes, Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory","Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory",Review description before apply.
prop_stingray_interior_sxb,stingray,SXB,opt_sxb_001,description_mismatch,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory","Black, Genuine Corvette Accessory",Review description before apply.
prop_stingray_interior_sxr,stingray,SXR,opt_sxr_001,description_mismatch,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory","Adrenaline Red, Genuine Corvette Accessory",Review description before apply.
prop_stingray_interior_sxt,stingray,SXT,opt_sxt_001,description_mismatch,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory","Natural, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_vtb,stingray,VTB,opt_vtb_001,description_mismatch,"LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_mechanical_vup,stingray,VUP,opt_vup_001,description_mismatch,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_vwd,stingray,VWD,opt_vwd_001,description_mismatch,"LPO, Stingray R logo wheel center caps. Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_interior_vyw,stingray,VYW,opt_vyw_001,description_mismatch,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory","Premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory",Review description before apply.
prop_stingray_interior_w2d,stingray,W2D,opt_w2d_001,description_mismatch,"LPO, Cargo net set, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_wkq,stingray,WKQ,opt_wkq_001,description_mismatch,"LPO, Premium indoor car cover, Black with crossed flags logo and access panels, Genuine Corvette Accessory","Black with crossed flags logo and access panels, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_wkr,stingray,WKR,opt_wkr_001,description_mismatch,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory","GT3.R, fully rendered, Genuine Corvette Accessory",Review description before apply.
prop_stingray_mechanical_zz3,stingray,ZZ3,opt_zz3_001,description_mismatch,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO","Includes window under tonneau cover, BC7 Black LS6 engine cover and SL9 engine specification plaque.",Review description before apply.
prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,label_mismatch,"LPO, Black Ground Effects. Genuine Corvette Accessory","LPO, Black Ground Effects",Review label before apply.
prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,label_mismatch,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",LPO Jake logo wheel center caps,Review label before apply.
prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,label_mismatch,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",LPO Carbon Flash wheel center caps with crossed flags logo,Review label before apply.
prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,label_mismatch,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","LPO, High wing spoiler, Body color",Review label before apply.
prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,label_mismatch,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, High wing spoiler",Review label before apply.
prop_stingray_mechanical_b6p,stingray,B6P,opt_b6p_001,label_mismatch,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",Coupe Engine Appearance Package,Review label before apply.
prop_stingray_mechanical_bc4,stingray,BC4,opt_bc4_001,label_mismatch,"NEW!  LS6 engine cover, Blue",NEW! Blue LS6 engine cover,Review label before apply.
prop_stingray_mechanical_bcp,stingray,BCP,opt_bcp_001,label_mismatch,"LS6 engine cover, Edge Red",Edge Red LS6 engine cover,Review label before apply.
prop_stingray_mechanical_bcs,stingray,BCS,opt_bcs_001,label_mismatch,"LS6 engine cover, Sterling Silver-painted",Sterling Silver LS6 engine cover,Review label before apply.
prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,label_mismatch,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",Carbon Flash and body-color accents,Review label before apply.
prop_stingray_exterior_r88,stingray,R88,opt_r88_001,label_mismatch,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory","LPO, Illuminated crossed flags emblem",Review label before apply.
prop_stingray_exterior_rik,stingray,RIK,opt_rik_001,label_mismatch,"LPO, Rear Corvette script badge in Torch Red, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Torch Red",Review label before apply.
prop_stingray_exterior_rin,stingray,RIN,opt_rin_001,label_mismatch,"LPO, Rear Corvette script badge in Arctic White, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Arctic White",Review label before apply.
prop_stingray_exterior_rnx,stingray,RNX,opt_rnx_001,label_mismatch,"LPO, Premium outdoor car cover, Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo","LPO, Premium outdoor car cover",Review label before apply.
prop_stingray_exterior_rwh,stingray,RWH,opt_rwh_001,label_mismatch,"LPO, Premium indoor car cover, Black with crossed flags logo, Genuine Corvette Accessory","LPO, Premium indoor car cover",Review label before apply.
prop_stingray_exterior_rwj,stingray,RWJ,opt_rwj_001,label_mismatch,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory","LPO, Premium outdoor car cover",Review label before apply.
prop_stingray_interior_rwu,stingray,RWU,opt_rwu_001,label_mismatch,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory","LPO, Cargo area organizer",Review label before apply.
prop_stingray_exterior_rxh,stingray,RXH,opt_rxh_001,label_mismatch,"LPO, Silver wheel center caps with Stingray logo and Red outline, Genuine Corvette Accessory",LPO Silver wheel center caps with Stingray logo and Red outline,Review label before apply.
prop_stingray_exterior_rxj,stingray,RXJ,opt_rxj_001,label_mismatch,"LPO, Black wheel center caps with Gray Stingray logo, Genuine Corvette Accessory",LPO Black wheel center caps with Gray Stingray logo,Review label before apply.
prop_stingray_interior_s2l,stingray,S2L,opt_s2l_001,label_mismatch,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory","LPO, Set of premium leather weekend/travel bags",Review label before apply.
prop_stingray_exterior_sb7,stingray,SB7,opt_sb7_001,label_mismatch,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos, Genuine Corvette Accessory","LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",Review label before apply.
prop_stingray_exterior_sda,stingray,SDA,opt_sda_001,label_mismatch,"LPO, Black recovery hook, Genuine Corvette Accessory","LPO, Black recovery hook",Review label before apply.
prop_stingray_exterior_sfz,stingray,SFZ,opt_sfz_001,label_mismatch,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory","LPO, Dark Stealth crossed flags emblem",Review label before apply.
prop_stingray_exterior_shq,stingray,SHQ,opt_shq_001,label_mismatch,"LPO, Fender hash stripes, Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory","LPO, Fender hash stripes",Review label before apply.
prop_stingray_exterior_sht,stingray,SHT,opt_sht_001,label_mismatch,"LPO, Jake hood graphic with Tech Bronze accent, Genuine Corvette Accessory","LPO, Jake hood graphic with Tech Bronze accent",Review label before apply.
prop_stingray_exterior_shw,stingray,SHW,opt_shw_001,label_mismatch,"LPO, Fender hash stripes, Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory","LPO, Fender hash stripes",Review label before apply.
prop_stingray_exterior_sl1,stingray,SL1,opt_sl1_001,label_mismatch,"LPO, Premium indoor car cover, Red with Stingray logo, Genuine Corvette Accessory","LPO, Premium indoor car cover",Review label before apply.
prop_stingray_exterior_sl8,stingray,SL8,opt_sl8_001,label_mismatch,"LPO, Rear Corvette script badge in Edge Red, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Edge Red",Review label before apply.
prop_stingray_mechanical_sl9,stingray,SL9,opt_sl9_001,label_mismatch,"LPO, Engine specification plaque, Genuine Corvette Accessory",Engine specification plaque,Review label before apply.
prop_stingray_standard_equipment_sl9,stingray,SL9,opt_sl9_001,label_mismatch,"LPO, Engine specification plaque, Genuine Corvette Accessory",Engine specification plaque,Review label before apply.
prop_stingray_mechanical_slk,stingray,SLK,opt_slk_001,label_mismatch,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","LPO, Rear hatch strut bracket",Review label before apply.
prop_stingray_mechanical_sln,stingray,SLN,opt_sln_001,label_mismatch,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory","LPO, Visible carbon fiber engine cross brace with Jake logo",Review label before apply.
prop_stingray_exterior_sng,stingray,SNG,opt_sng_001,label_mismatch,"LPO, Fender hash stripes, Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory","LPO, Fender hash stripes",Review label before apply.
prop_stingray_interior_sxb,stingray,SXB,opt_sxb_001,label_mismatch,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,Review label before apply.
prop_stingray_interior_sxr,stingray,SXR,opt_sxr_001,label_mismatch,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,Review label before apply.
prop_stingray_interior_sxt,stingray,SXT,opt_sxt_001,label_mismatch,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,Review label before apply.
prop_stingray_exterior_vtb,stingray,VTB,opt_vtb_001,label_mismatch,"LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo, Genuine Corvette Accessory","LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo",Review label before apply.
prop_stingray_mechanical_vup,stingray,VUP,opt_vup_001,label_mismatch,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory","LPO, Engine Bay closeout graphics",Review label before apply.
prop_stingray_exterior_vwd,stingray,VWD,opt_vwd_001,label_mismatch,"LPO, Stingray R logo wheel center caps. Genuine Corvette Accessory",LPO Stingray R logo wheel center caps,Review label before apply.
prop_stingray_interior_vyw,stingray,VYW,opt_vyw_001,label_mismatch,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory","LPO, Floor mats",Review label before apply.
prop_stingray_interior_w2d,stingray,W2D,opt_w2d_001,label_mismatch,"LPO, Cargo net set, Genuine Corvette Accessory","LPO, Cargo net set",Review label before apply.
prop_stingray_exterior_wkq,stingray,WKQ,opt_wkq_001,label_mismatch,"LPO, Premium indoor car cover, Black with crossed flags logo and access panels, Genuine Corvette Accessory","LPO, Premium indoor car cover",Review label before apply.
prop_stingray_exterior_wkr,stingray,WKR,opt_wkr_001,label_mismatch,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory","LPO, Premium indoor car cover",Review label before apply.
prop_stingray_mechanical_zz3,stingray,ZZ3,opt_zz3_001,label_mismatch,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO",Convertible Engine Appearance Package,Review label before apply.
