proposal_selectable_id,model_key,orderable_rpo,candidate_canonical_selectable_id_preview,candidate_id_status,proposal_label,description,source_ref_count,notes
prop_stingray_exterior_dpb,stingray,DPB,sel_stingray_dpb,preview_only,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Carbon Flash with Blue accent Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dpc,stingray,DPC,sel_stingray_dpc,preview_only,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dpg,stingray,DPG,sel_stingray_dpg,preview_only,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Carbon Flash with Orange accent Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dpl,stingray,DPL,sel_stingray_dpl,preview_only,Carbon Flash with Red accent Full Length Dual Racing Stripes,Carbon Flash with Red accent Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dpt,stingray,DPT,sel_stingray_dpt,preview_only,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Carbon Flash with Silver accent Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dsy,stingray,DSY,sel_stingray_dsy,preview_only,Edge Orange Full Length Dual Racing Stripes,Edge Orange Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dsz,stingray,DSZ,sel_stingray_dsz,preview_only,Edge Red Full Length Dual Racing Stripes,Edge Red Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dt0,stingray,DT0,sel_stingray_dt0,preview_only,Competition Yellow Full Length Dual Racing Stripes,Competition Yellow Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dth,stingray,DTH,sel_stingray_dth,preview_only,Carbon Flash Metallic Full Length Dual Racing Stripes,Carbon Flash Metallic Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dub,stingray,DUB,sel_stingray_dub,preview_only,Sterling Silver Full Length Dual Racing Stripes,Sterling Silver Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_due,stingray,DUE,sel_stingray_due,preview_only,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_duk,stingray,DUK,sel_stingray_duk,preview_only,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_duw,stingray,DUW,sel_stingray_duw,preview_only,Edge Blue Full Length Dual Racing Stripes,Edge Blue Full Length Dual Racing Stripes,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dzu,stingray,DZU,sel_stingray_dzu,preview_only,Carbon Flash/Competition Yellow Stinger Stripe,Carbon Flash/Competition Yellow Stinger Stripe,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dzv,stingray,DZV,sel_stingray_dzv,preview_only,Carbon Flash/Midnight Silver Stinger Stripe,Carbon Flash/Midnight Silver Stinger Stripe,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_dzx,stingray,DZX,sel_stingray_dzx,preview_only,Carbon Flash/Edge Red Stinger Stripe,Carbon Flash/Edge Red Stinger Stripe,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_e60,stingray,E60,sel_stingray_e60,preview_only,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system","Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_efy,stingray,EFY,sel_stingray_efy,preview_only,"Exterior accents, body-color, side vents and front/rear grille accents","Exterior accents, body-color, side vents and front/rear grille accents",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_eyk,stingray,EYK,sel_stingray_eyk,preview_only,Chrome Exterior Badge Package,Chrome Exterior Badge Package,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_fa5,stingray,FA5,sel_stingray_fa5,preview_only,"Trim, interior, carbon fiber cluster-surround and console/door switch plates","Trim, interior, carbon fiber cluster-surround and console/door switch plates",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_fe2,stingray,FE2,sel_stingray_fe2,preview_only,"Suspension, Magnetic Selective Ride Control","Suspension, Magnetic Selective Ride Control",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_fe4,stingray,FE4,sel_stingray_fe4,preview_only,"Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management","Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_fe9,stingray,FE9,sel_stingray_fe9,preview_only,"Emissions, Federal requirements, 50-state certified","Emissions, Federal requirements, 50-state certified",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_j6b,stingray,J6B,sel_stingray_j6b,preview_only,"Calipers, Blue-painted","Calipers, Blue-painted",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_j6e,stingray,J6E,sel_stingray_j6e,preview_only,"Calipers, Velocity Yellow-painted","Calipers, Velocity Yellow-painted",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_j6f,stingray,J6F,sel_stingray_j6f,preview_only,"Calipers, Bright Red-painted","Calipers, Bright Red-painted",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_j6n,stingray,J6N,sel_stingray_j6n,preview_only,"Calipers, Edge Red-painted","Calipers, Edge Red-painted",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_n26,stingray,N26,sel_stingray_n26,preview_only,"Steering wheel, sueded microfiber-wrapped","Steering wheel, sueded microfiber-wrapped",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_nb8,stingray,NB8,sel_stingray_nb8,preview_only,"Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington","Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_nb9,stingray,NB9,sel_stingray_nb9,preview_only,"Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)","Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_nc7,stingray,NC7,sel_stingray_nc7,preview_only,"Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)","Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_ne1,stingray,NE1,sel_stingray_ne1,preview_only,"Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements","Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_mechanical_nwi,stingray,NWI,sel_stingray_nwi,preview_only,"NEW!  Exhaust tips, bright, center, quad, exposed","NEW!  Exhaust tips, bright, center, quad, exposed",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_pcu,stingray,PCU,sel_stingray_pcu,preview_only,"LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories","LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_pcx,stingray,PCX,sel_stingray_pcx,preview_only,"LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories","LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_pdv,stingray,PDV,sel_stingray_pdv,preview_only,"LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory","LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_pdy,stingray,PDY,sel_stingray_pdy,preview_only,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory","LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_pef,stingray,PEF,sel_stingray_pef,preview_only,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory","LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_pin,stingray,PIN,sel_stingray_pin,preview_only,Customer VIN ending reservation,Customer VIN ending reservation,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_prb,stingray,PRB,sel_stingray_prb,preview_only,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.","3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_q99,stingray,Q99,sel_stingray_q99,preview_only,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_q9a,stingray,Q9A,sel_stingray_q9a,preview_only,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_q9i,stingray,Q9I,sel_stingray_q9i,preview_only,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_q9o,stingray,Q9O,sel_stingray_q9o,preview_only,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_qe6,stingray,QE6,sel_stingray_qe6,preview_only,"NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum","NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_r6p,stingray,R6P,sel_stingray_r6p,preview_only,3 Years SiriusXM,3 Years SiriusXM,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_r6x,stingray,R6X,sel_stingray_r6x,preview_only,Custom Interior Trim and Seat Combination,Custom Interior Trim and Seat Combination,6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_r8c,stingray,R8C,sel_stingray_r8c,preview_only,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN","Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_r9v,stingray,R9V,sel_stingray_r9v,preview_only,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included","Mobile Service Plus. MobileService+ is a suite of service conveniences for 3 years - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_r9w,stingray,R9W,sel_stingray_r9w,preview_only,"Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances","Deleted Mobile Service Plus. Delete MobileService+ service conveniences - Mobile Service, Pick-up & Delivery, and Loaner with Drop Off. By selecting R9W, you acknowledge that you are forgoing the margin and the ability to receive MobileService+ allowances",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_r9y,stingray,R9Y,sel_stingray_r9y,preview_only,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included","Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_ria,stingray,RIA,sel_stingray_ria,preview_only,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory","LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_ryq,stingray,RYQ,sel_stingray_ryq,preview_only,"LPO, Visible Carbon Fiber door intake trim, Genuine Corvette Accessory","LPO, Visible Carbon Fiber door intake trim, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_ryt,stingray,RYT,sel_stingray_ryt,preview_only,"LPO, First Aid Kit, Genuine Corvette Accessory","LPO, First Aid Kit, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_rz9,stingray,RZ9,sel_stingray_rz9,preview_only,"LPO, Visible Carbon Fiber grille insert, Genuine Corvette Accessory","LPO, Visible Carbon Fiber grille insert, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_s08,stingray,S08,sel_stingray_s08,preview_only,"LPO, Highway Safety Kit, Genuine Corvette Accessory","LPO, Highway Safety Kit, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_s47,stingray,S47,sel_stingray_s47,preview_only,"LPO, Chrome lug nuts, Genuine Corvette Accessory","LPO, Chrome lug nuts, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_sbt,stingray,SBT,sel_stingray_sbt,preview_only,"LPO, Dual roof, adds transparent removable roof panel and includes (SC7) roof panel storage pouch, Genuine Corvette Accessories","LPO, Dual roof, adds transparent removable roof panel and includes (SC7) roof panel storage pouch, Genuine Corvette Accessories",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_sc7,stingray,SC7,sel_stingray_sc7,preview_only,"LPO, Roof panel storage pouch, Genuine Corvette Accessory","LPO, Roof panel storage pouch, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_sfe,stingray,SFE,sel_stingray_sfe,preview_only,"LPO, Chrome wheel locks, Genuine Corvette Accessory","LPO, Chrome wheel locks, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_spy,stingray,SPY,sel_stingray_spy,preview_only,"LPO, Black lug nuts, Genuine Corvette Accessory","LPO, Black lug nuts, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
